NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Dexter Energy Services,Manages imbalance for energy companies and industrials using artifical intelligence,Europe,Netherlands,Amsterdam,52.35082705,4.92508172,12.5,climate tech;sustainable development goals,energy,energy efficiency,early growth,Generation-E;PDENH;DutchBasecamp;Andreas Gelfort;Stephen Asplin;Newion;Starter Business Acceleration;Rockstart;ETF Partners;Astelia,venture_capital;venture_capital;non-profit;angel;angel;venture_capital;accelerator;accelerator;venture_capital;company,Amsterdam
Triple Solar,Designer and manufacturer of solar panels in combination with a heat pump,Europe,Netherlands,Amsterdam,52.4118391,4.8781575,11.2,solar energy;heat pump;climate tech;sustainable development goals;residential solar;urban tech,energy,clean energy;energy efficiency,early growth,Erik Schut;Ruud Rijbroek;DOEN Participaties;PDENH;DutchBasecamp;Enfuro Ventures;Rabobank;ABP;Cees Mager;Terence van Buuren,angel;angel;venture_capital;venture_capital;non-profit;venture_capital;corporate;corporate;angel;angel,Amsterdam
Perpetual Next,"Renewable carbon, biochar, green gasses and green hydrogen from organic residues",Europe,Netherlands,Amsterdam,52.4044976,4.8872422,770.0,recycling;biotechnology in food;biofuel;commodities;sustainable development goals;organic waste;climate tech;biomass;carbon capture and storage;circular economy;waste reduction;became $1b as subsidiary,energy,clean energy,late growth,Momentum Capital,"private_equity,venture_capital",Amsterdam
EcoChain Technologies,"Provide insights on envoirnmental impact, CO2 footprinting, energy efficiency and resource flows to determine returns on sustainable investments on a financial and environmental level",Europe,Netherlands,Amsterdam,52.3368263,4.9293853,2.0,analytics;startupamsterdam;sustainable development goals;climate tech,energy;enterprise software,energy efficiency,early growth,Volta Ventures;ScaleUpNation,venture_capital;accelerator,Amsterdam
AMMP Technologies,Remote monitoring for the next generation of energy companies,Europe,Netherlands,Amsterdam,52.3824571,4.9214117,1.15,solar energy;sustainable development goals;off-grid;energy tech;industrial technology;climate tech,energy;semiconductors,clean energy;energy providers;energy efficiency,early growth,E.ON :agile accelerator;Point Nine;Musha Ventures;Raba Capital,accelerator;venture_capital;angel_fund;venture_capital,Amsterdam
Chargetrip,Smart EV Routing and Navigation,Europe,Netherlands,Amsterdam,52.3686517,4.9072115,10.91,mobility;predictive analytics;sustainable development goals;ev charging;ev routing;electric mobility,energy;transportation,logistics & delivery;clean energy;mobility;navigation & mapping,early growth,Vindeggen;APX;TotalEnergies Carbon Neutrality Ventures;IMPACT Accelerator;APX Ventures;Startup Autobahn;MobilityXlab;Blue Bear Capital;Riverstone Holdings;HSBC Asset Management,"venture_capital;private_equity,venture_capital;corporate_venture_fund;accelerator;private_equity,venture_capital;accelerator;accelerator;venture_capital;private_equity,venture_capital;venture_capital",Amsterdam
Eco-Movement,"The leading platform for EV charge point data. Fully independent, Eco-Movement focuses 100% on data quality and completeness",Europe,Netherlands,Amsterdam,52.2377257,5.171084,1.1,ev charging software;climate tech;sustainable development goals,energy,energy efficiency;clean energy,early growth,Arches Capital;Bridford Group;Dow Jones;Ponooc,"venture_capital;family_office;corporate;family_office,venture_capital",Utrecht
Photanol,Converting sun energy and carbon dioxide to produce organic compounds,Europe,Netherlands,Amsterdam,52.3564615,4.9591237,10.7,biofuel;startupamsterdam;sustainable development goals;eic;carbon capture and storage;solar energy;chemical technology;climate tech;synthetic biology,energy,clean energy;energy efficiency,early growth,Icos Capital;UvA Ventures;European Innovation Council;University of Amsterdam,venture_capital;venture_capital;government;university,Amsterdam
Mud Jeans,Lease recycable jeans online,Europe,Netherlands,Amsterdam,52.2657862,5.2048432,1.05,recycling;fast fashion;sustainable development goals;throw-away economy;climate tech;circular economy;b corp,fashion;energy,apparel,early growth,Oneplanetcrowd;DOEN Participaties;PDENH;Ready To Scale,crowdfunding;venture_capital;venture_capital;accelerator,Utrecht
Skytree,Skytree offers a direct air capture technology enabling its users to capture carbon dioxide and concentrate it for industrial use,Europe,Netherlands,Amsterdam,52.369039,4.898239,1.04,startupamsterdam;sustainable development goals;carbon capture and storage;climate tech;space tech;esa bic;esa;novel energy;space tech to agriculture and food;space tech to environment;space downstream;direct air capture;carbon utilisation,energy,clean energy;waste solution,early growth,InvestInFuture;Startupbootcamp;Rainmaking;EIT Climate-KIC;Startupbootcamp Smart Materials;Startupbootcamp Fintech New York;Plug and Play;Fund for Sustainability and Energy (FUND4SE);ESA BIC Noordwijk;Plug & Play Topeka;Ready To Scale,venture_capital;accelerator;venture_capital;accelerator;venture_capital;accelerator;venture_capital;venture_capital;accelerator;accelerator;accelerator,Amsterdam
Vandersat,Observes water and temperature at field scale across the globe using satellites,Europe,Netherlands,Amsterdam,52.3794192,4.6274194,1.34,satellite imagery;precision agriculture;irrigation;weather forecasting;sustainable development goals;space tech;parametric insurance;climate tech;esa phi-lab;esa;space downstream;space tech to agriculture and food;flood management;climate risk;esa incubed,food;energy,water;agritech,early growth,European Innovation Council;Rubio Impact Ventures;DutchBasecamp;Planet Labs,government;venture_capital;non-profit;corporate,Amsterdam
GreenFlux,Empowering customers to accelerate EV adoption and the use of sustainable energy with our smart EV charging platform,Europe,Netherlands,Amsterdam,52.3627231,4.9209759,11.0,charging technology;sustainable development goals;ev charging;smart grid;ev charging operations and monitoring;ev charging software;climate tech;electric mobility,energy;transportation,clean energy;energy efficiency;mobility;energy storage,late growth,BOM Brabant Ventures;ICT Automatisering;SET Ventures;DKV Mobility Services Group;Eneco Ventures,venture_capital;corporate;venture_capital;corporate;corporate_venture_fund,Amsterdam
ViriCiti,Monitoring for electric city buses and trucks,Europe,Netherlands,Amsterdam,52.3922678,4.8471172,6.95,truck;bus;sustainable development goals;ev fleet management;industrial technology;logistics tech;logistics management;smart cities;location based;ev charging;climate tech;electric mobility,energy;transportation,navigation & mapping;logistics & delivery,early growth,Mainport Innovation Fund;Greenlink;European Innovation Council;Energy Impact Partners (EIP);ChargePoint;EIT Climate-KIC,venture_capital;corporate;government;venture_capital;corporate;accelerator,Amsterdam
Sungevity International,Develops remote solar designs and installation services for home solar electric systems,Europe,Netherlands,Amsterdam,52.363326,4.978385,247.27,startupamsterdam;performance management;solar energy;sustainable development goals;pay per result;climate tech,energy,clean energy,late growth,Firelake Capital Management;Vision Ridge Partners;GE Ventures;CCM Energy;Jetstream Capital;Apollo Investment Corporation;Engie Rassembleurs d’Energies,venture_capital;venture_capital;corporate_venture_fund;venture_capital;venture_capital;venture_capital;venture_capital,Amsterdam
Vandebron,Allows consumers to buy renewable energy directly from suppliers,Europe,Netherlands,Amsterdam,52.3702157,4.8951679,2.0,startupamsterdam;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy providers;clean energy,late growth,AKEF;SHIFT Invest;Ponooc;Essent,"venture_capital;venture_capital;family_office,venture_capital;company",Amsterdam
NewMotion,Charging solutions for electric vehicles,Europe,Netherlands,Amsterdam,52.3642069,4.8917925,13.55,car;automotive;startupamsterdam;sustainable development goals;ev charging operations and monitoring;ev charging infrastructure;ev charging software;ev charging hardware;ev charging;climate tech;electric mobility,energy;transportation,mobility,late growth,Entrepreneurs Fund;DOEN Participaties;Shell;AutoBinck Group,venture_capital;venture_capital;corporate;corporate,Amsterdam
Qpinch,A radical innovation in industrial heat pump technology that brings a quantum leap to industrial energy efficiency. Our patented QHT - Qpinch Heat Transformer - technology recovers and transforms waste heat into carbon neutral process heat,Europe,Belgium,Antwerp,51.2305651,4.4032441,4.0,sustainable development goals;heat pump;climate tech;spinout;novel energy;other categories novel energy,energy,clean energy;oil & gas;energy efficiency,early growth,SABIC;Capricorn Partners;Quest for Growth;Ghent University,corporate;venture_capital;venture_capital;university,Antwerp
June Energy,"Constantly looks for the best market prices and switches automatically between energy suppliers, based on personal consumption",Europe,Belgium,Antwerp,51.2033638,4.4222345,2.53,smart home;sustainable development goals;climate tech,energy,energy providers;energy efficiency,early growth,Belgian Media Ventures;4Ventures,venture_capital;venture_capital,Antwerp
InOpSys,Development and operation for on-site treatment of industrial side and wastewater streams from pharmaceutical and chemical production,Europe,Belgium,Antwerp,51.05371,4.447274,1.5,recycling;waste reduction;sustainable development goals;climate tech;spinout;circular economy,energy;transportation,water,early growth,Innovation Fund;Gemma Frisius Fund - GFF;Vlaamse Milieuholding (VMH);Air Liquide;ALIAD (Air Liquide);Telos Impact Investing;KU Leuven,"venture_capital;venture_capital;venture_capital;corporate;corporate_venture_fund;advisor,family_office;university",Antwerp
PlugInvest,"In Antwerpen, Belgium, ​supplies and installs charging stations for ​​​electric ​vehicles at home and at work",Europe,Belgium,Antwerp,51.2047272,4.3923628,4.35,ev charging hardware;sustainable development goals;ev charging;climate tech;electric mobility,energy;transportation,mobility,early growth,Colruyt Group;Cardoen;Start it @KBC,corporate;corporate;accelerator,Antwerp
Turbulent,Provides reliable and renewable energy to even the most remote locations in the world,Europe,Belgium,Antwerp,51.2186612,4.4040624,2.58,hydraulic;sustainable development goals;hydropower;off-grid;energy supply;climate tech,energy,energy providers;clean energy,early growth,European Innovation Council;Inventures Investment Partners;imec.istart;Start it @KBC,government;venture_capital;accelerator;accelerator,Antwerp
Solenco Powerbox NV,Provides a one-stop solution for both heat and power needs,Europe,Belgium,Antwerp,51.3055797,4.9236658,1.96,eic;hydrogen;sustainable development goals;climate tech;novel energy;hydrogen novel energy,energy,clean energy;energy storage,early growth,European Innovation Council,government,Antwerp
Elestor,"Elestor’s breakthrough flow battery stores electricity at a fraction of the cost of conventional batteries, safely and with a long lifetime. #ElectricityStorage",Europe,Netherlands,Arnhem,51.9664135,5.9395224,30.0,sustainable development goals;climate tech;stationary energy storage;novel energy;grid energy storage;battery;hydrogen,energy,energy efficiency;clean energy;energy storage,early growth,EIT InnoEnergy;Enfuro Ventures;Guido Dalessi;Koolen Industries;Equinor Ventures;Vopak;Invest-NL;Somerset Capital Partners,venture_capital;venture_capital;angel;corporate;corporate_venture_fund;corporate;investment fund;venture_capital,Utrecht
Onethird,Food Waste Prevention Specialists for Supply Chains,Europe,Netherlands,Arnhem,51.9652653,6.0018732,4.25,predictive analytics;sustainable development goals;climate tech;food waste;waste reduction;circular economy,food;energy,in-store retail & restaurant tech,early growth,SHIFT Invest;Oost NL;EIT Food;Halma;Pymwymic,venture_capital;venture_capital;accelerator;corporate;venture_capital,Utrecht
Plantics,Plantics: Biodegradable bio-plastic from 100% renewables,Europe,Netherlands,Arnhem,51.9701813,5.9486945,2.0,startupamsterdam;biodegradable;chemistry;sustainable development goals;industrial technology;advanced materials;innovative material tech;polymers and polymer alternatives;climate tech;spinout,energy,waste solution,early growth,ACE Incubator;European Innovation Council;University of Amsterdam;UvA Ventures;EIT Climate-KIC,incubator;government;university;venture_capital;accelerator,Utrecht
Allego,"Delivers charging solutions for electric cars, motors, buses and trucks, for consumers, businesses and cities",Europe,Netherlands,Arnhem,51.9664135,5.9395224,146.36,spac ipo closed;verified unicorns and $1b exits;car charging;sustainable development goals;ev charging;ev charging hardware;ev charging software;ev charging operations and monitoring;battery;electric mobility;spac target,energy;transportation,mobility;energy storage,late growth,Meridiam;Spartan Acquisition Corp. III;Fisker Automotive;Landis+Gyr;Hedosophia;Emerging Capital Partners - ECP;Apollo;Alliander,"private_equity;corporate;corporate;corporate;venture_capital;private_equity,venture_capital;private_equity;corporate",Utrecht
Stirling Ultracold(Global Cooling),"Stirling Ultracold develops and manufactures environmentally friendly, ultra-low temperature freezers",Europe,Greece,Athens,39.32924,-82.101255,16.45,cooling tech;sustainable development goals;climate tech;green buildings;building energy efficiency;urban tech,energy,clean energy;waste solution;energy efficiency,late growth,TechGROWTH Ohio;Ohio Innovation Fund;ADVANTAGE Capital Management GmbH;Advantage Capital;American Financial Group;BioLife Solutions,"venture_capital;venture_capital;corporate;private_equity,venture_capital;corporate;corporate",Galway
Quantron,"E-Mobility for e-trucks, e-vans and e-buses  represents the fields, eEngineering, eBattery",Europe,Germany,Augsburg,48.4096464,10.8604548,50.0,truck;hydrogen;sustainable development goals;climate tech;ev manufacturing;electric mobility;hydrogen storage and transportation;hydrogen novel energy,energy;transportation,energy storage;vehicle production,late growth,China Dynamics;Neuman & Esser Geschäftsführungsgesellschaft mbH;Ballard Power Systems,corporate;corporate;corporate,Munich
Everfuel,"Hydrogen fueling convenient, compact and competitive",Europe,Denmark,Aulum,56.314794,8.823018,97.0,hydrogen;sustainable development goals;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 denmark;novel energy;hydrogen novel energy,energy;transportation,clean energy;logistics & delivery,late growth,European Investment Bank;Saga Pure;Tjuvholmen ventures;Tjuvolmen Ventures;Swedish Energy Agency,government & non-profit;investment fund;venture_capital;investment fund;government,Aarhus
Eléments,"Production of renewable energies (wind power, solar and hydroelectric)",Europe,France,Avignon,43.9984783,5.0549027,2.5,hydropower;solar energy;wind energy;sustainable development goals;climate tech,energy,clean energy,late growth,Noria Invest,venture_capital,Marseille
